transaction_id,customer_id,product_id,transaction_date,quantity,payment_method,unit_price,total_amount,timestamp
71,12,1,2024-09-21,3,Transferencia,100,413.6167619984011,2024-09-21 19:52:54
72,69,1,2024-09-18,1,Tarjeta,100,128.16154534272113,2024-09-18 15:23:01
73,37,3,2024-03-19,1,Efectivo,50,141.7943847945176,2024-03-19 16:16:41
74,32,7,2024-09-05,1,Transferencia,720,798.4360060558735,2024-09-05 04:11:22
75,9,8,2024-07-26,1,Efectivo,350,420.87585320190055,2024-07-26 04:04:08
76,99,6,2024-09-28,2,Efectivo,1000,2074.173937533692,2024-09-28 00:06:04
77,19,5,2024-08-02,3,Tarjeta,500,1579.6920884535575,2024-08-02 09:36:08
78,48,8,2024-07-08,3,Tarjeta,350,1284.2417937570062,2024-07-08 22:07:26
79,80,5,2024-04-17,3,Efectivo,500,1658.0226453873515,2024-04-17 19:51:34
80,3,1,2024-06-13,1,Transferencia,100,130.3210596935566,2024-06-13 20:43:52
81,20,2,2024-01-01,2,Tarjeta,30,190.9919560697495,2024-01-01 02:03:56
82,24,6,2024-09-23,3,Efectivo,1000,3040.890140077382,2024-09-23 07:25:54
83,54,4,2024-06-03,2,Tarjeta,100,278.71064574308565,2024-06-03 16:43:14
84,33,2,2024-03-09,1,Tarjeta,30,82.17012951320211,2024-03-09 06:49:04
85,24,2,2024-08-07,3,Tarjeta,30,159.94875020953958,2024-08-07 16:43:00
86,75,8,2024-05-02,2,Efectivo,350,897.2378059663511,2024-05-02 17:34:55
87,72,6,2024-01-16,1,Transferencia,1000,1028.8187628130652,2024-01-16 03:30:38
88,36,7,2024-05-08,2,Transferencia,720,1483.463563407788,2024-05-08 18:15:15
89,38,1,2024-02-01,3,Transferencia,100,384.95441594946203,2024-02-01 19:16:49
90,84,1,2024-02-12,3,Tarjeta,100,537.6465059531256,2024-02-12 23:05:06
91,99,1,2024-05-08,1,Efectivo,100,148.29550933446586,2024-05-08 04:45:57
92,89,1,2024-10-20,1,Tarjeta,100,160.8874345777284,2024-10-20 12:39:25
93,99,8,2024-03-10,1,Transferencia,350,361.89082412877246,2024-03-10 19:26:36
94,25,5,2024-02-07,2,Transferencia,500,1026.1976355431966,2024-02-07 18:18:08
95,93,1,2024-03-31,2,Efectivo,100,300.2485989688629,2024-03-31 15:34:55
96,18,5,2024-02-27,2,Tarjeta,500,1166.9979437762922,2024-02-27 18:02:27
97,82,5,2024-10-03,1,Transferencia,500,589.6714990836808,2024-10-03 19:41:20
98,66,7,2024-01-04,3,Efectivo,720,2213.410773250823,2024-01-04 01:15:07
99,54,1,2024-10-18,3,Tarjeta,100,475.3580375672762,2024-10-18 12:13:08
100,35,3,2024-04-12,2,Tarjeta,50,284.3813435302687,2024-04-12 04:41:05
101,80,4,2024-09-18,2,Transferencia,100,289.83509579161955,2024-09-18 07:33:33
102,61,2,2024-03-07,3,Transferencia,30,343.98277448565955,2024-03-07 15:32:34
103,41,5,2024-03-04,3,Tarjeta,500,1566.0978266878478,2024-03-04 15:57:30
104,100,6,2024-01-12,2,Tarjeta,1000,2188.3710081402037,2024-01-12 01:14:37
105,33,6,2024-05-11,2,Transferencia,1000,2155.2561971556343,2024-05-11 17:17:02
106,68,4,2024-05-21,3,Tarjeta,100,584.1602860524636,2024-05-21 01:48:53
107,33,6,2024-01-24,1,Transferencia,1000,1070.8955510197256,2024-01-24 13:43:15
108,14,3,2024-10-23,2,Tarjeta,50,185.41270775989688,2024-10-23 06:29:56
109,21,6,2024-05-20,3,Transferencia,1000,3283.3089165816746,2024-05-20 03:32:35
110,48,2,2024-07-16,3,Efectivo,30,194.40302960347822,2024-07-16 00:14:25
111,20,2,2024-08-24,3,Transferencia,30,209.6865809566678,2024-08-24 03:06:13
112,8,5,2024-05-05,3,Transferencia,500,1719.2182728604698,2024-05-05 16:21:45
113,7,1,2024-04-17,1,Efectivo,100,178.87846695728476,2024-04-17 10:34:57
114,67,7,2024-06-17,3,Tarjeta,720,2440.9389406392716,2024-06-17 09:16:11
115,17,3,2024-08-07,2,Efectivo,50,156.8644336301177,2024-08-07 03:07:34
116,33,5,2024-07-12,1,Transferencia,500,581.8198231697302,2024-07-12 01:06:58
117,48,3,2024-05-27,3,Tarjeta,50,379.4074344171801,2024-05-27 01:26:32
118,76,1,2024-04-25,1,Efectivo,100,115.7415100628238,2024-04-25 00:33:35
119,59,8,2024-09-21,2,Tarjeta,350,789.7001654178373,2024-09-21 19:08:36
120,86,6,2024-05-12,3,Tarjeta,1000,3106.3466734062263,2024-05-12 07:52:23
121,22,6,2024-07-06,2,Efectivo,1000,2074.8082763837256,2024-07-06 19:15:06
122,30,7,2024-07-17,3,Tarjeta,720,2455.3956574797694,2024-07-17 01:37:09
123,38,1,2024-10-11,3,Efectivo,100,503.5499016395805,2024-10-11 09:33:01
124,51,5,2024-09-08,3,Transferencia,500,1723.7725626042447,2024-09-08 22:31:21
125,54,7,2024-09-16,3,Tarjeta,720,2453.6867620750522,2024-09-16 05:04:23
126,8,1,2024-04-23,3,Transferencia,100,431.84448126356244,2024-04-23 14:47:40
127,27,4,2024-05-26,1,Transferencia,100,182.16561516075254,2024-05-26 12:01:46
128,27,2,2024-01-31,3,Tarjeta,30,237.32336009221373,2024-01-31 16:13:38
129,98,7,2024-06-03,3,Efectivo,720,2424.7740913900443,2024-06-03 00:02:28
130,21,7,2024-02-11,1,Tarjeta,720,746.2591787180173,2024-02-11 00:29:14
131,30,5,2024-04-22,1,Transferencia,500,595.2917559357852,2024-04-22 07:25:45
132,97,3,2024-03-03,1,Transferencia,50,79.68945375697916,2024-03-03 20:15:14
133,28,4,2024-07-17,1,Efectivo,100,139.35984562828384,2024-07-17 15:30:33
134,64,5,2024-02-10,1,Tarjeta,500,578.0573010696103,2024-02-10 05:35:40
135,97,1,2024-07-24,1,Transferencia,100,145.4379627408866,2024-07-24 20:48:27
136,69,1,2024-04-11,3,Transferencia,100,494.21707172694056,2024-04-11 16:50:53
137,61,1,2024-02-20,3,Transferencia,100,450.0348452887457,2024-02-20 17:05:21
138,48,8,2024-03-06,2,Efectivo,350,853.6265886761607,2024-03-06 21:45:15
139,19,1,2024-10-03,3,Transferencia,100,391.64943813952493,2024-10-03 08:37:55
140,4,3,2024-10-16,3,Transferencia,50,195.7836565539568,2024-10-16 08:31:37
141,35,4,2024-02-27,1,Tarjeta,100,136.99364577257597,2024-02-27 15:09:04
142,64,6,2024-10-05,1,Tarjeta,1000,1052.6877798381588,2024-10-05 02:43:15
143,49,2,2024-10-20,3,Transferencia,30,165.3654140920232,2024-10-20 17:55:55
144,17,3,2024-06-09,2,Transferencia,50,183.86351213814996,2024-06-09 14:30:04
145,44,3,2024-09-23,1,Tarjeta,50,95.99847164642117,2024-09-23 19:22:34
146,92,8,2024-06-21,3,Efectivo,350,1095.4957977958338,2024-06-21 18:01:00
147,30,6,2024-05-01,3,Efectivo,1000,3187.4929570097347,2024-05-01 14:18:49
148,93,6,2024-03-26,2,Efectivo,1000,2179.1818170348315,2024-03-26 03:14:32
149,46,2,2024-01-28,2,Efectivo,30,107.31372433154944,2024-01-28 15:03:58
150,6,2,2024-04-05,1,Efectivo,30,93.80272120613625,2024-04-05 09:59:10
151,99,6,2024-03-13,2,Efectivo,1000,2139.6530568839526,2024-03-13 03:03:29
152,37,1,2024-06-24,3,Efectivo,100,443.2203637132078,2024-06-24 13:04:56
153,24,3,2024-10-21,3,Efectivo,50,369.2963485883529,2024-10-21 05:25:44
154,93,5,2024-08-12,2,Tarjeta,500,1093.9316778283821,2024-08-12 15:28:48
155,46,2,2024-01-26,2,Efectivo,30,170.83471183593826,2024-01-26 08:09:41
156,53,8,2024-01-15,2,Efectivo,350,721.3235480197968,2024-01-15 07:01:27
157,95,8,2024-01-26,2,Efectivo,350,844.509620544244,2024-01-26 17:56:50
158,99,2,2024-05-07,1,Transferencia,30,99.5208411050252,2024-05-07 18:55:22
159,60,6,2024-05-03,2,Tarjeta,1000,2026.912157918742,2024-05-03 18:56:24
160,97,4,2024-10-13,1,Tarjeta,100,143.142509665562,2024-10-13 11:08:01
161,63,5,2024-07-06,3,Tarjeta,500,1794.3385970137504,2024-07-06 23:13:57
162,85,5,2024-01-23,2,Efectivo,500,1095.732581262351,2024-01-23 12:35:12
163,32,2,2024-02-28,1,Efectivo,30,85.17508646186576,2024-02-28 20:15:43
164,87,1,2024-06-15,2,Transferencia,100,383.78742846874934,2024-06-15 22:59:50
165,33,4,2024-01-06,3,Tarjeta,100,523.6607064837542,2024-01-06 22:26:10
166,67,5,2024-09-20,3,Efectivo,500,1687.1589354035405,2024-09-20 14:38:46
167,18,2,2024-04-27,3,Tarjeta,30,335.4072639620896,2024-04-27 06:10:11
168,25,8,2024-09-12,2,Transferencia,350,875.5859279620752,2024-09-12 08:11:20
169,95,5,2024-04-17,2,Transferencia,500,1102.239852912708,2024-04-17 13:16:20
170,54,7,2024-03-22,1,Transferencia,720,772.7597528438652,2024-03-22 15:52:18
171,58,4,2024-10-07,3,Tarjeta,100,434.2337526259957,2024-10-07 11:48:23
172,67,4,2024-01-16,2,Efectivo,100,394.0071052033229,2024-01-16 16:04:53
173,46,7,2024-01-01,3,Efectivo,720,2378.234888658395,2024-01-01 12:49:53
174,24,3,2024-08-18,3,Transferencia,50,202.47022787617954,2024-08-18 17:02:38
175,32,8,2024-04-13,1,Efectivo,350,437.6663660981717,2024-04-13 22:27:37
176,47,7,2024-03-24,1,Transferencia,720,773.2503946752641,2024-03-24 21:43:02
177,86,6,2024-01-01,1,Tarjeta,1000,1016.1878515780239,2024-01-01 06:08:37
178,23,6,2024-09-27,1,Transferencia,1000,1059.474552964698,2024-09-27 16:24:16
179,66,2,2024-01-11,3,Tarjeta,30,232.63435532343954,2024-01-11 16:18:26
180,27,4,2024-07-24,1,Transferencia,100,188.99744643763626,2024-07-24 19:33:49
181,2,3,2024-02-18,1,Efectivo,50,78.35951432484487,2024-02-18 02:37:56
182,90,3,2024-02-15,1,Efectivo,50,134.38181485429647,2024-02-15 23:00:06
183,17,5,2024-04-24,1,Transferencia,500,560.1919822066908,2024-04-24 15:16:46
184,33,5,2024-04-27,3,Efectivo,500,1544.7447818676364,2024-04-27 19:25:18
185,9,7,2024-08-06,1,Efectivo,720,817.4660771192936,2024-08-06 17:32:35
186,43,3,2024-10-15,3,Efectivo,50,318.406115907864,2024-10-15 18:42:01
187,48,7,2024-01-22,2,Tarjeta,720,1512.3578337616848,2024-01-22 12:43:18
188,39,8,2024-05-25,3,Efectivo,350,1206.7398473370997,2024-05-25 21:27:51
189,93,7,2024-04-15,3,Tarjeta,720,2421.621601549722,2024-04-15 08:22:57
190,42,5,2024-08-25,1,Transferencia,500,537.4412811946557,2024-08-25 22:50:15
191,26,4,2024-02-20,2,Efectivo,100,254.68175136760607,2024-02-20 11:56:53
192,99,7,2024-07-01,2,Efectivo,720,1483.2328244475586,2024-07-01 22:56:40
193,50,1,2024-03-05,2,Efectivo,100,273.61469171023805,2024-03-05 14:50:50
194,25,4,2024-09-21,2,Transferencia,100,360.4086556672078,2024-09-21 13:18:48
195,24,3,2024-10-21,3,Tarjeta,50,307.33911860272065,2024-10-21 12:36:22
196,13,3,2024-04-23,2,Tarjeta,50,160.9466886648372,2024-04-23 23:37:18
197,60,7,2024-03-09,3,Efectivo,720,2234.8699498946326,2024-03-09 00:12:40
198,7,4,2024-01-29,3,Transferencia,100,419.83695865780237,2024-01-29 06:42:22
199,57,5,2024-10-17,3,Transferencia,500,1783.7795806791414,2024-10-17 04:48:10
200,36,5,2024-08-18,2,Transferencia,500,1081.7448082662045,2024-08-18 19:43:55
201,45,6,2024-04-24,1,Transferencia,1000,1098.931166835917,2024-04-24 00:06:04
202,20,3,2024-06-06,1,Transferencia,50,103.67074101888205,2024-06-06 15:48:41
203,65,2,2024-06-10,2,Tarjeta,30,112.24950529222716,2024-06-10 05:29:57
204,8,6,2024-03-04,1,Tarjeta,1000,1090.202608261416,2024-03-04 09:02:15
205,16,5,2024-07-16,1,Tarjeta,500,551.4319835821344,2024-07-16 12:51:40
206,14,4,2024-04-27,3,Efectivo,100,521.6112627462217,2024-04-27 13:06:16
207,76,8,2024-08-16,3,Transferencia,350,1345.602127466471,2024-08-16 04:28:25
208,87,5,2024-09-21,2,Efectivo,500,1029.0315630575953,2024-09-21 02:12:19
209,15,4,2024-07-28,2,Transferencia,100,237.4050207617621,2024-07-28 22:04:32
210,92,6,2024-02-26,1,Tarjeta,1000,1074.841106731648,2024-02-26 11:40:29
211,98,3,2024-05-06,3,Efectivo,50,256.09275088977745,2024-05-06 04:24:23
212,66,5,2024-01-12,2,Tarjeta,500,1053.1742514510179,2024-01-12 21:41:37
213,32,7,2024-07-10,2,Transferencia,720,1467.0851383675513,2024-07-10 02:54:07
214,87,4,2024-03-18,2,Transferencia,100,223.93240815751633,2024-03-18 13:02:20
215,63,3,2024-09-20,2,Transferencia,50,259.40740856156236,2024-09-20 21:39:07
216,86,8,2024-06-12,2,Tarjeta,350,744.198016926519,2024-06-12 23:36:41
217,51,8,2024-07-21,2,Transferencia,350,804.1897108748071,2024-07-21 05:27:22
218,25,2,2024-02-17,1,Tarjeta,30,94.53071336615346,2024-02-17 18:47:23
219,58,4,2024-09-20,3,Efectivo,100,445.6549861535885,2024-09-20 02:12:08
220,63,6,2024-03-23,3,Transferencia,1000,3037.318796130783,2024-03-23 13:20:02
221,62,2,2024-02-06,2,Transferencia,30,221.0302704658236,2024-02-06 23:34:13
222,22,2,2024-07-08,3,Transferencia,30,122.83857062624645,2024-07-08 06:56:57
223,58,1,2024-05-23,3,Efectivo,100,535.7102714819207,2024-05-23 21:57:44
224,58,5,2024-07-31,3,Transferencia,500,1771.1922133227931,2024-07-31 03:41:53
225,86,4,2024-04-24,2,Tarjeta,100,297.91118579029103,2024-04-24 00:25:59
226,49,2,2024-10-14,2,Tarjeta,30,176.39764515760368,2024-10-14 14:08:13
227,52,1,2024-08-04,3,Transferencia,100,458.78551600676656,2024-08-04 04:12:47
228,42,6,2024-09-19,3,Transferencia,1000,3135.0863270283285,2024-09-19 22:27:59
229,70,3,2024-09-04,2,Efectivo,50,279.73641636666486,2024-09-04 10:43:18
230,15,7,2024-04-04,1,Efectivo,720,810.4540159602991,2024-04-04 02:05:23
231,54,7,2024-05-08,3,Efectivo,720,2280.670418453214,2024-05-08 13:49:37
232,60,4,2024-04-10,1,Transferencia,100,165.3562778613228,2024-04-10 07:53:59
233,97,2,2024-08-25,3,Efectivo,30,370.2650417793833,2024-08-25 22:31:00
234,8,7,2024-02-01,1,Efectivo,720,816.5852649047216,2024-02-01 03:41:25
235,53,5,2024-10-02,1,Tarjeta,500,555.8063136379843,2024-10-02 03:02:53
236,60,7,2024-02-08,1,Efectivo,720,770.7542324755894,2024-02-08 06:18:14
237,5,7,2024-01-25,2,Tarjeta,720,1510.1649768671346,2024-01-25 09:56:14
238,68,7,2024-09-21,1,Tarjeta,720,816.2984685871369,2024-09-21 01:11:42
239,6,8,2024-05-22,1,Efectivo,350,372.85328740255807,2024-05-22 06:13:11
240,96,1,2024-09-17,1,Tarjeta,100,162.18466184429525,2024-09-17 01:16:51
241,94,2,2024-05-29,3,Transferencia,30,196.28857223003249,2024-05-29 02:36:12
242,47,5,2024-05-21,1,Transferencia,500,535.1107461313017,2024-05-21 06:45:12
243,99,2,2024-07-25,3,Efectivo,30,229.3415185915709,2024-07-25 03:54:40
244,55,8,2024-01-20,1,Transferencia,350,449.8913642234089,2024-01-20 22:23:38
245,40,4,2024-05-22,1,Tarjeta,100,114.94696761558399,2024-05-22 05:47:54
246,52,4,2024-03-18,2,Transferencia,100,324.13752727663564,2024-03-18 17:22:17
247,16,4,2024-05-10,3,Efectivo,100,352.2944826695249,2024-05-10 20:31:54
248,13,6,2024-07-28,1,Efectivo,1000,1023.9068746991467,2024-07-28 00:26:37
249,30,7,2024-08-31,3,Tarjeta,720,2308.6819942786824,2024-08-31 03:13:20
250,19,6,2024-08-20,3,Efectivo,1000,3167.8242354635395,2024-08-20 01:02:27
251,17,1,2024-09-13,2,Transferencia,100,266.58263350561435,2024-09-13 22:03:35
252,63,4,2024-05-02,2,Efectivo,100,276.9622835573949,2024-05-02 21:49:13
253,19,8,2024-02-03,2,Tarjeta,350,735.6540636460679,2024-02-03 06:53:35
254,92,5,2024-07-02,2,Efectivo,500,1074.5795610919652,2024-07-02 23:28:20
255,58,2,2024-01-11,2,Transferencia,30,253.98051908849794,2024-01-11 06:51:54
256,55,7,2024-08-13,2,Tarjeta,720,1630.0473287010468,2024-08-13 05:14:50
257,90,3,2024-06-24,2,Transferencia,50,180.2780922246573,2024-06-24 17:05:09
258,90,5,2024-09-15,2,Tarjeta,500,1122.7537085301772,2024-09-15 17:10:24
259,62,7,2024-03-14,1,Efectivo,720,811.863585199985,2024-03-14 01:18:45
260,23,6,2024-03-16,3,Tarjeta,1000,3031.669632113042,2024-03-16 12:00:05
261,9,6,2024-06-11,2,Tarjeta,1000,2165.9230426607664,2024-06-11 05:44:44
262,12,5,2024-09-14,2,Efectivo,500,1190.7065195020054,2024-09-14 16:05:11
263,1,6,2024-01-15,3,Transferencia,1000,3054.6579482700604,2024-01-15 03:38:12
264,58,4,2024-02-06,1,Efectivo,100,124.5302917429629,2024-02-06 11:02:50
265,1,1,2024-01-14,3,Tarjeta,100,589.401501748266,2024-01-14 07:04:17
266,34,2,2024-08-17,3,Efectivo,30,265.13583878289353,2024-08-17 19:54:27
267,96,1,2024-04-03,2,Tarjeta,100,222.55539420491027,2024-04-03 17:28:14
268,48,7,2024-02-18,3,Efectivo,720,2259.560639666153,2024-02-18 17:01:45
269,89,2,2024-05-18,3,Efectivo,30,241.48479205259207,2024-05-18 03:30:12
270,1,8,2024-07-10,2,Transferencia,350,844.7236039844581,2024-07-10 21:50:27
271,16,2,2024-03-04,2,Tarjeta,30,211.96886806462393,2024-03-04 10:18:09
272,61,1,2024-03-18,2,Transferencia,100,399.17587232658207,2024-03-18 14:28:57
273,64,5,2024-05-09,2,Tarjeta,500,1071.7520158890766,2024-05-09 00:09:19
274,63,2,2024-01-26,3,Efectivo,30,265.3194275044883,2024-01-26 18:24:09
275,69,8,2024-04-25,3,Tarjeta,350,1223.9973579220934,2024-04-25 10:22:41
276,22,8,2024-01-03,1,Transferencia,350,396.5080733502514,2024-01-03 22:25:20
277,93,8,2024-05-05,1,Transferencia,350,375.2245704458178,2024-05-05 04:14:21
278,67,1,2024-05-29,3,Transferencia,100,593.9132720596375,2024-05-29 05:39:32
279,76,2,2024-09-04,1,Tarjeta,30,116.79854679999275,2024-09-04 15:22:35
280,26,3,2024-09-11,3,Transferencia,50,314.54991763944406,2024-09-11 16:05:20
281,16,5,2024-03-18,1,Transferencia,500,564.2920880415627,2024-03-18 09:02:24
282,51,4,2024-06-26,2,Transferencia,100,260.9069896407392,2024-06-26 00:00:37
283,86,2,2024-09-12,1,Efectivo,30,88.94083633525722,2024-09-12 11:57:12
284,57,8,2024-09-24,2,Efectivo,350,845.0946239618656,2024-09-24 21:43:53
285,29,3,2024-09-10,2,Tarjeta,50,212.73006510958598,2024-09-10 11:30:20
286,78,4,2024-03-19,2,Tarjeta,100,398.25133070528943,2024-03-19 09:36:40
287,92,4,2024-09-16,2,Transferencia,100,330.0414981245907,2024-09-16 13:24:45
288,69,7,2024-04-19,1,Efectivo,720,763.3876341332953,2024-04-19 17:13:28
289,47,2,2024-09-02,3,Transferencia,30,328.48104745627626,2024-09-02 01:26:07
290,94,1,2024-07-24,2,Transferencia,100,250.68325208469557,2024-07-24 00:07:12
291,62,2,2024-03-25,1,Efectivo,30,74.60642323356399,2024-03-25 19:21:27
292,69,3,2024-01-03,2,Efectivo,50,182.45261106796545,2024-01-03 19:59:07
293,76,4,2024-02-13,1,Efectivo,100,148.86263855969995,2024-02-13 14:08:23
294,16,2,2024-07-01,1,Tarjeta,30,110.36018433358537,2024-07-01 15:02:29
295,90,1,2024-01-03,1,Tarjeta,100,153.57557289470668,2024-01-03 15:46:08
296,90,7,2024-09-06,3,Transferencia,720,2404.38390157181,2024-09-06 16:43:04
297,48,2,2024-09-12,1,Tarjeta,30,91.88400128258793,2024-09-12 18:16:32
298,85,5,2024-03-01,1,Efectivo,500,540.78624911918,2024-03-01 09:17:19
299,39,7,2024-05-26,3,Efectivo,720,2408.6942607945375,2024-05-26 09:14:17
300,100,1,2024-07-23,3,Tarjeta,100,394.33821104933475,2024-07-23 12:24:34
301,33,3,2024-01-24,1,Transferencia,50,80.19446818198159,2024-01-24 14:14:08
302,94,4,2024-10-12,3,Transferencia,100,466.2157894948056,2024-10-12 23:13:22
303,23,2,2024-10-24,2,Tarjeta,30,126.952864273176,2024-10-24 12:36:11
304,10,1,2024-10-19,2,Transferencia,100,221.63566629121894,2024-10-19 18:53:16
305,69,7,2024-07-29,3,Transferencia,720,2365.0403323706764,2024-07-29 10:21:37
306,100,5,2024-08-08,3,Transferencia,500,1667.9953317975474,2024-08-08 15:04:33
307,34,1,2024-03-24,1,Efectivo,100,150.0966033043845,2024-03-24 17:00:56
308,52,6,2024-02-05,3,Efectivo,1000,3291.0814989469454,2024-02-05 09:39:03
309,95,8,2024-09-03,1,Tarjeta,350,411.40792655666223,2024-09-03 19:05:52
310,10,5,2024-06-20,2,Efectivo,500,1175.4176840020891,2024-06-20 22:10:03
311,19,7,2024-01-16,3,Transferencia,720,2227.6515637753932,2024-01-16 20:51:57
